player,position,team,teamsignedwith,age,years,contract,salary,guaranteed,guaranteedpct,yearfreeagent
Andre Roberts (20142017) ,WR ,WAS ,WAS ,27,4,16000000,4000000,8000000,50,2018
C.J. Spiller (20152018) ,RB ,NO ,NO ,27,4,16000000,4000000,9000000,56.25,2019
Earl Mitchell (20142017) ,DT ,MIA ,MIA ,27,4,16000000,4000000,9000000,56.25,2018
Mark Ingram (20152018) ,RB ,NO ,NO ,25,4,16000000,4000000,7600000,47.5,2019
Evander Hood (20142017) ,DE ,JAC ,JAC ,28,4,16000000,4000000,4000000,25,2018
Frank Gore (20152017) ,RB ,IND ,IND ,32,3,12000000,4000000,6500000,54.17,2018
Rahim Moore (20152017) ,S ,HOU ,HOU ,25,3,12000000,4000000,4000000,33.33,2018
Perry Riley (20142016) ,ILB ,WAS ,WAS ,27,3,12000000,4000000,5000000,41.67,2017
Greg Jennings (20152016) ,WR ,MIA ,MIA ,31,2,8000000,4000000,3000000,37.5,2017
Chad Henne (20142015) ,QB ,JAC ,JAC ,30,2,8000000,4000000,4500000,56.25,2016
Heath Miller (20142016) ,TE ,PIT ,PIT ,32,2,8000000,4000000,5000000,62.5,2017
Michael Neal (20142015) ,DE ,GB ,GB ,28,2,8000000,4000000,2500000,31.25,2016
Wesley Woodyard (20142017) ,ILB ,TEN ,TEN ,29,4,15750000,3937500,4750000,30.16,2018
Britton Colquitt (20132016) ,P ,DEN ,DEN ,30,3,11677000,3892333,4250000,36.4,2017
Malcom Floyd (20122015) ,WR ,SD ,SD ,33,3,11550000,3850000,5250000,45.45,2016
Sean Weatherspoon (20152015) ,ILB ,ARI ,ARI ,27,1,3850000,3850000,1250000,32.47,2016
David Hawthorne (20122016) ,ILB ,NO ,NO ,30,5,19000000,3800000,7500000,39.47,2017
Orlando Scandrick (20152019) ,CB ,DAL ,DAL ,28,5,19000000,3800000,3000000,15.79,2020
Sammie Lee Hill (20132015) ,DT ,TEN ,TEN ,28,3,11400000,3800000,4000000,35.09,2016
Sebastian Janikowski (20132017) ,K ,OAK ,OAK ,37,4,15100000,3775000,8000000,52.98,2018
Dustin Colquitt (20132017) ,P ,KC ,KC ,33,5,18750000,3750000,7900000,42.13,2018
Robbie Gould (20142017) ,K ,CHI ,CHI ,33,4,15000000,3750000,8850000,59,2018
Captain Munnerlyn (20142016) ,CB ,MIN ,MIN ,27,3,11250000,3750000,4450000,39.56,2017
Harry Douglas (20152017) ,WR ,TEN ,TEN ,29,3,11250000,3750000,3750000,33.33,2018
Antrel Rolle (20152017) ,S ,CHI ,CHI ,32,3,11250000,3750000,4900000,43.56,2018
Garrett Graham (20142016) ,TE ,HOU ,HOU ,29,3,11250000,3750000,4500000,40,2017
DeMeco Ryans (20152016) ,ILB ,PHI ,PHI ,31,2,7500000,3750000,6250000,83.33,2017
Henry Melton (20152015) ,DT ,TB ,TB ,28,1,3750000,3750000,1000000,26.67,2016
Marcel Reece (20132016) ,FB ,OAK ,OAK ,30,3,11020000,3673333,4116294,37.35,2017
Ryan Mathews (20152017) ,RB ,PHI ,PHI ,27,3,11000000,3666667,5000000,45.45,2018
Mike Evans (20142017) ,WR ,TB ,TB ,21,4,14631502,3657876,14631502,100,2018
Kraig Urbik (20132016) ,G ,BUF ,BUF ,29,4,14600000,3650000,4500000,30.82,2017
Thomas Morstead (20122018) ,P ,NO ,NO ,29,6,21885000,3647500,6925000,31.64,2019
Jonathan Cooper (20132016) ,G ,ARI ,ARI ,25,4,14549002,3637251,14549000,100,2017
Mike Scifres (20122016) ,P ,SD ,SD ,34,5,18125000,3625000,4750000,26.21,2017
Ryan Fitzpatrick (20142015) ,QB ,NYJ ,HOU ,32,2,7250000,3625000,4000000,55.17,2016
Darnell Dockett (20152016) ,DE ,SF ,SF ,34,2,7250000,3625000, , ,2017
Vic Beasley (20152018) ,OLB ,ATL ,ATL ,23,4,14495228,3623807,14495228,100,2019
Mark Barron (20122015) ,S ,STL ,TB ,25,4,14465000,3616250,14465000,100,2016
Justin Durant (20152017) ,OLB ,ATL ,ATL ,29,3,10800000,3600000,1250000,11.57,2018
Ereck Flowers (20152018) ,LT ,NYG ,NYG ,21,4,14391719,3597930,14391719,100,2019
Evan DietrichSmith (20142017) ,C ,TB ,TB ,29,4,14250000,3562500,7250000,50.88,2018
Kory Lichtensteiger (20132017) ,C ,WAS ,WAS ,30,5,17500000,3500000,2750000,15.71,2018
Dwayne Harris (20152019) ,WR ,NYG ,NYG ,27,5,17500000,3500000,7100000,40.57,2020
Donald Thomas (20132016) ,G ,IND ,IND ,29,4,14000000,3500000,3500000,25,2017
