player,position,team,teamsignedwith,age,years,contract,guaranteed,guaranteedpct,salary,yearfreeagent
Nerlens Noel (2013-2015) ,C ,PHI ,PHI ,21,3,9945240,9945240,100,3315080,2017
K.J. McDaniels (2015-2017) ,SF ,HOU ,HOU ,22,2,6523126,6523126,100,3261563,2018
Austin Rivers (2015-2016) ,SG ,LAC ,LAC ,25,2,6454902,6454902,100,3227451,2017
John Henson (2012-2015) ,PF ,MIL ,MIL ,24,4,12733181,12733181,100,3183295,2016
Emmanuel Mudiay (2015-2016) ,PG ,DEN ,DEN ,0,2,6344040,6344040,100,3172020,2019
Julius Randle (2014-2015) ,PF ,LAL ,LAL ,24,2,6129600,6129600,100,3064800,2018
Randy Foye (2013-2015) ,PG ,DEN ,UTH ,31,3,9135000,9135000,100,3045000,2016
Ben McLemore (2013-2015) ,PG ,SAC ,SAC ,22,3,9078840,9078840,100,3026280,2017
Tibor Pleiss (2015-2017) ,C ,UTH ,UTH ,25,3,9000000,5900000,65.56,3000000,2018
Brandon Bass (2015-2016) ,PF ,LAL ,LAL ,30,2,6000000,6000000,100,3000000,2017
Anthony Tolliver (2014-2015) ,PF ,DET ,PHX ,30,2,6000000,6000000,100,3000000,2016
D.J. Augustin (2014-2015) ,PG ,OKC ,CHI ,27,2,6000000,6000000,100,3000000,2016
Jerryd Bayless (2014-2015) ,PG ,MIL ,MIL ,26,2,6000000,6000000,100,3000000,2016
Dante Cunningham (2015-2017) ,PF ,NOP ,NOP ,28,3,8934750,8934750,100,2978250,2018
Manu Ginobili (2015-2016) ,SG ,SAS ,SAS ,38,2,5839050,5839050,100,2919525,2017
Stanley Johnson (2015-2016) ,SF ,DET ,DET ,19,2,5811840,5811840,100,2905920,2019
Omri Casspi (2015-2016) ,SF ,SAC ,SAC ,27,2,5800000,5800000,100,2900000,2017
Luis Scola (2015-2015) ,PF ,TOR ,TOR ,35,1,2900000,2900000,100,2900000,2016
Terrence Ross (2012-2015) ,SG ,TOR ,TOR ,24,4,11589837,11589837,100,2897459,2016
Sonny Weems (2015-2016) ,SG ,PHX ,PHX ,0,2,5754630,2814000,48.9,2877315,2017
Bismack Biyombo (2015-2016) ,C ,TOR ,TOR ,22,2,5754630,5754630,100,2877315,2017
Frank Kaminsky (2015-2016) ,PF ,CHA ,CHA ,22,2,5747544,5747544,100,2873772,2019
Furkan Aldemir (2014-2017) ,PF ,PHI ,PHI ,23,4,11420610,5800000,50.79,2855153,2018
Kevin Seraphin (2015-2015) ,PF ,WAS ,NYK ,25,1,2814000,2814000,100,2814000,2016
Nik Stauskas (2014-2015) ,SG ,PHI ,SAC ,21,2,5615280,5615280,100,2807640,2018
Udonis Haslem (2014-2015) ,PF ,MIA ,MIA ,35,2,5586940,5586940,100,2793470,2016
Kirk Hinrich (2014-2015) ,SG ,CHI ,CHI ,34,2,5586940,5586940,100,2793470,2016
Brian Roberts (2014-2015) ,PG ,CHA ,CHA ,29,2,5586940,5586940,100,2793470,2016
